Product Name,Rating,Items Sold,Selling Price
"Rubik Cube Stickerless 56mm Qiyi Warrior S Rubiks Cube 3x3 - Magic Speed Cube Puzzle Toys Rubik's Cube 3x3, Memory and Responsiveness Rubik Cube, Concentration Rubic Cube ( 56mm ) Rubix Cube",0.0 (424),1.7K sold,Rs. 269
3x3 Bubble Cube Stickerless Best Quality Fast Speedy Rubik Cube Magic Puzzle Toys | Lollypop Cube,0.0 (2),N/A,Rs. 449
Lube for Rubik Cube 5ml - Lube for Gan - Lube for Moyu,0.0 (53),238 sold,Rs. 195
Original Qiyi Rubiks Cube 3x3 Stickerless Qiyi Warrior S Best Quality Fast Speed Magic Rubik Speed Cube Educational Puzzle Toys,0.0 (2278),10.1K sold,Rs. 285
QY Toys Warrior W 3x3 Speed Cube Stickerless 3x3x3 Magic Puzzle Cube,0.0 (4),68 sold,Rs. 250
Original Qiyi Mirror Cube 3x3 Golden Sticker Less Qiyi Warrior S Best Quality Fast Speed Magic Rubik Speed Cube Educational Puzzle Toys,0.0 (59),234 sold,Rs. 685
2x2 Moyu Speed Cube Stickerless,0.0 (1),8 sold,Rs. 280
Snake puzzle snake Cube Pieces 24 Blocks Magic Cubes Mini Plastic Twist Puzzle Toy,0.0 (54),89 sold,Rs. 249
Rubiks Cube Pair Of 2 Moyou Meilong Cubes-3x3 and 2x2 Moyu Meilong High Quality  Magic cube,0.0 (2),10 sold,Rs. 599
"Rubik Cube 4x4 MoYu MEI-LONG, 4x4 Original Rubik Cube Sticker less, Fast Speedy Magic Rubik Cube, Educational Puzzle Toys",0.0 (3),14 sold,Rs. 699
High Quality Rubik Cube 3x3 Stickerless Fast Speed Magic Cube for Kids Early Learning - 3x3 Cube Puzzle,0.0 (83),252 sold,Rs. 295
2x2 MoYu Original Rubiks Cube 2x2 Stickerless Best Quality Speed Cube Educational Puzzle Toys MoYu,0.0 (22),263 sold,Rs. 329
MoYu RS3M V5 3X3 Magnetic Magic Speed Cube Professional Fidget Toys RS3 M 2023 V5 Cubo Magico Puzzle,0.0 (2),47 sold,"Rs. 1,828"
Original Qiyi Qiming 3x3 Pyramid Cube Sticker less Best Quality Fast Speed Triangular Magic Cube Smooth Educational Puzzle Toys,N/A,5 sold,Rs. 396
Rubik's Cube Megaminx Speed Rubik Cube 3X3 Speed Rubik cube Puzzle,0.0 (105),600 sold,"Rs. 1,296"
Rubian Rubic Magic Cube - Multicolor,0.0 (25),149 sold,Rs. 99
"Stickerless 56mm Qiyi Warrior S Rubiks Cube 3x3 - Magic Speed Cube Puzzle Toys Rubik's Cube 3x3, Memory and Responsiveness Rubik Cube, Concentration Rubic Cube ( 56mm ) Rubix Cube",0.0 (546),2.5K sold,Rs. 350
3D Geometric Brain Teaser Cube | Magnetic Rubiks Cube Infinity Changeable into 72 Shapes,0.0 (21),201 sold,Rs. 472
"Qiyi Pyramid Rubiks Cube Frosted Inside (3x3x3) High Quality Magic Cube, Stickerless Cube-Smooth Turning WCA Recommended Best Out Of All In Market",0.0 (55),187 sold,Rs. 645
Moyu Meilong 3M V2 3x3x3 Magnetic Cube 3x3 Speed cube Magic cube Professional Magnetic Cube Puzzle Toys Children Toys,0.0 (2),54 sold,Rs. 865
Puzzle Mirror Rubik Cube Mirror Cube 3x3 Gold Silver Magic Cube Mirror Cube Irregular Magic Cube | Partners Collections,0.0 (183),886 sold,Rs. 600
QiYi Axis Rubik Cube Stickerless Magic Cube,0.0 (6),14 sold,"Rs. 1,150"
"Stickerless 56mm Warrior S Rubiks Cube 3x3 - Magic Speed Cube Puzzle Toys Rubik's Cube 3x3, Memory and Responsiveness Rubik Cube, Concentration Rubic Cube ( 56mm ) Rubix Cube",0.0 (169),838 sold,Rs. 289
"Stickerless 56mm Smooth Rubiks Cube 3x3 - Magic Speed Cube Puzzle Toys 3x3, Memory and Responsiveness Rubik Cube, ( 56mm ) Rubix Cube best price and quality",0.0 (20),82 sold,Rs. 299
Cuber Speed Windmill 3x3 stickerless Bright Magic Cube Wheel Color 3x3x2 Speed Cube Puzzle  | Fisher Cube,0.0 (117),402 sold,Rs. 627
"Rubik's Cube ,  Magic Cube , Smooth Fast Speed Rubik's cube ,  Rubik's Puzzle Kids Gifts , Puzzle toy , Mind challenge Game for kids , Problem-solving games , Cognitive skills for kids , Rubic cube ,  4x4 rubik's cube , rubik cube magnetic , 3D Puzzle",0.0 (5),16 sold,Rs. 290
Original Rubiks Cube 2x2 Stickerless Best Quality Fast Speedy Magic Rubik Speed Cube Educational Puzzle Toys,0.0 (76),459 sold,Rs. 359
Original Qiyi Rubiks Cube 3x3 Stickerless Qiyi Warrior S Best Quality Fast Speed Magic Rubik Speed Cube Educational Puzzle Toys,0.0 (16),101 sold,Rs. 289
Original Rubiks Cube 2x2 Stickerless Best Quality Fast Speedy Magic Rubik Speed Cube Educational Puzzle Toys,0.0 (294),1.6K sold,Rs. 299
"Qiyi Warrior S Rubiks Cube 3x3- Stickerless Magic Speed Cube 3x3 Puzzle Toys (56mm), Educational Brain Activity For Kids And Adults To Solve Problems",0.0 (972),4.2K sold,Rs. 297
Meilong 3M V2 3x3 Magnetic Magic Cube Magnetic Lite / Standard / UV Speed Professional Puzzle Toys For Children Kids Gift Toy,0.0 (7),1.4K sold,"Rs. 1,225"
Original Qiyi Rubiks Cube 3x3 Qiyi Sail W Best Sticker Quality Fast Speed Magic Rubik Speed Cube Educational Puzzle Toys,0.0 (5),11 sold,Rs. 350
Original Stickerless Warrior S Rubiks Cube 3x3 - Magic Speed Cube Puzzle Toys 56mm - Easy Turning and Durable Megaminx Speed Cube Toy for Kids,0.0 (22),82 sold,Rs. 299
QIYI 3×3 Rubik Cube bubble,0.0 (10),56 sold,Rs. 699
Original Qiyi Mirror Cube 3x3 Silver Sticker Less Qiyi Warrior S Best Quality Fast Speed Magic Rubik Speed Cube Educational Puzzle Toys,0.0 (22),127 sold,Rs. 575
Rubik's Cube Mastermorphix 3x3 | Stickerless Triangular speed Cube | Best Quality Fast and smooth,0.0 (82),342 sold,Rs. 698
"MoYu MEILONG PARAMIX Original Rubik's Cube 3x3 Pyramid, Best Quality Fast Speedy Magic Rubik Cube",0.0 (1),6 sold,Rs. 650
MoYu Meilong Cube Robot MFJS Cube Robot Twist Puzzle Cube Cube Robot Display Box fit for 2x2/3x3/4x4/5x5 Cube,0.0 (1),64 sold,Rs. 833
Portible Pyramid Triangle Shape Magic Cube | Stickerless Magic Rubix's Cube,0.0 (4),8 sold,Rs. 549
Qiyi windmill Rubik's Puzzle Cube - Windmill Cube - Speedy (Black with Stickers),N/A,N/A,Rs. 545
Lube for Rubik Cube - Cube Lube 5ml - Cube Oil,0.0 (121),459 sold,Rs. 199
"Lube for Rubik Cube, Rubik Cube Lube 10ml, Super Smooth Turning with just 2 drops",0.0 (306),1.3K sold,Rs. 340
"Lube for Rubik Cube, Cube Lube, Silicone Based Lube for Cube 5ml",0.0 (67),319 sold,Rs. 220
Magic Cube Lube 10 ml  Oil Silicone Lubricants  Standard Lube Rubik's Cube,0.0 (24),135 sold,Rs. 279
"Lube for Rubik Cube, Rubik Cube Lube 10ml - Real MARU Lube",0.0 (197),957 sold,Rs. 290
Snake puzzle snake Cube Pieces 24 Blocks Magic Cubes Mini Plastic Twist Puzzle Toy,0.0 (7),46 sold,Rs. 170
Moyu Meilong RS3M 2020 Magnetic Rubiks Cube 3x3 With Strong Magnetics 56-mm High Quality Professional Budget Magnetic Cube,0.0 (125),545 sold,"Rs. 1,399"
3x3 Moyu stickerless Speed Cube,N/A,13 sold,Rs. 300
